,rel_omicron_beta,rel_omicron_delta,rel_omicron_mu_inf_AA,rel_omicron_mu_inf_AC,rel_omicron_mu_inf_AI,rel_omicron_mu_inf_SA,rel_omicron_mu_inf_SC,rel_omicron_mu_susc_A,rel_omicron_mu_susc_C
46,-1.1636362081451888,0.5802035724148836,0.9329443189099585,0.1985837864916032,2.133403682610456,-0.16221079842298497,0.40868733808324464,-0.6552452109990903,-2.3354207612946114
47,-1.0578089774910824,1.1796885774560817,-0.08517297713335019,0.5879403358960439,-0.7117902556005036,2.375509246918042,0.5737460139837554,0.38554375720260564,-1.3709452592230982
48,-0.6914484607040431,0.21340544212204074,-0.8262115192496945,0.5139064303173942,0.24304036362850898,-2.0667061580850934,-0.2848486365515052,1.9526770404889608,-1.9059613813986649
49,-1.1461318143029773,-0.5604609643328877,0.09695881954728873,-0.050881887750520105,-0.4028965788900667,-1.3050946098629388,0.2033506218516254,0.2544142347305364,-2.134335695774907
50,-0.3229722814333519,0.944655123960644,0.3282145566101318,1.7020662111047118,-0.346242132933917,-0.9880739496317393,0.6181644023513077,0.22743801580237993,-1.5492254190874353
51,-0.7584087045601288,0.08314478571190886,-0.5609032948424394,0.6835673884159513,-1.7438821280973937,0.3818838161829561,-0.10996718100823612,-2.486460378246856,-0.3044615911496807
52,-0.9668352838156629,2.822235210732125,0.8541996241404173,1.4882151089849422,-0.0750480229553235,1.1434073560914781,0.9094240704804657,-0.4973661712488564,-1.413630856619965
53,-1.3061990817321434,-1.4596216478596211,3.2559449204057587,1.9149653921826468,-0.6094120867107351,-2.7557238675570668,-0.47095268933600654,-0.310065898625492,-2.4652124018042056
54,-1.1968798267044374,0.7636614469752575,1.9029762619773523,1.7340359886659167,-1.3446556350877936,-1.1641780918662976,1.074855841246362,1.4117884981041642,-1.3070091762346427
55,0.04284706736047136,1.732443183071716,1.3273212967842267,1.1310627978570449,-0.33792030807616963,0.32435771714823236,-1.2361303525841811,0.8815586742872191,-0.9921953705921858
